what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Oracle Corporation",1455950271229
java.version,sysinfo,,,"1.7.0_75",1455950271229
java.vm.info,sysinfo,,,"mixed mode, sharing",1455950271229
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1455950271229
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1455950271229
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1455950271229
java.vm.specification.version,sysinfo,,,"1.7",1455950271229
java.vm.vendor,sysinfo,,,"Oracle Corporation",1455950271229
java.vm.version,sysinfo,,,"24.75-b04",1455950271229
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455950329897
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455950337386
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455950345574
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455950804945
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455950807628
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455951748851
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1455951762478
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1455951772157
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1455951772385
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455951785141
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455951798535
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1455951798551
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455951804588
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455951813374
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455951820502
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455951826179
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455951979675
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455951985387
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455952145346
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455952170234
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455952172195
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455952173525
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455952175409
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455952176004
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1455952177043
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1455952177572
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1455957652500
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1455957652501
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1455957652503
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1455957652526
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1455957652527
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1455957652529
